Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1187308300,IDLE
10,1184401300,IDLE
15,1175745600,IDLE
20,1156632200,IDLE
25,1201205800,IDLE
30,1192060400,IDLE
35,1301789900,IDLE
40,1637629100,REQUEST
45,1501045500,REQUEST
50,1648405400,IDLE
55,1257289500,IDLE
60,1303776900,IDLE
65,1296502800,IDLE
70,1250349300,IDLE
75,1189376900,IDLE
80,1226360200,IDLE
85,1330060200,IDLE
90,1378385000,IDLE
95,1261800800,IDLE
100,1316349700,IDLE
105,1201309000,IDLE
110,1269722600,IDLE
115,1260384800,IDLE
120,1269662200,IDLE
125,1196857600,IDLE
130,1214227300,IDLE
135,1247298900,IDLE
140,1209882200,IDLE
145,1137802100,IDLE
150,1289890400,IDLE
155,1177754900,IDLE
160,1242517300,IDLE
165,1183167300,IDLE
170,1321938500,IDLE
175,1192396500,IDLE
180,1196659900,IDLE
185,1212265700,IDLE
190,1232345000,IDLE
195,1166713900,IDLE
200,1091551400,IDLE
205,1247561300,IDLE
210,1238870200,IDLE
215,1248296300,IDLE
220,1248016100,IDLE
225,1233449200,IDLE
230,1212153400,IDLE
235,1264447300,IDLE
240,1118961700,IDLE
245,1215659500,IDLE
250,975532200,IDLE
